location,Basel
lat,47.75000
lon,7.50000
asl,363.653
variable,Temperature
unit,°C
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Basel Temperature [2 m elevation corrected]
19700110T1400,2.4302454
19700110T1500,2.6002455
19700110T1600,2.8502455
19700110T1700,2.7902455
19700110T1800,2.7602453
19700110T1900,1.9302454
19700110T2000,1.3502455
19700110T2100,0.7202454
19700110T2200,0.2602454
19700110T2300,-0.97975457
19700111T0000,-1.1597546
19700111T0100,-1.1197546
19700111T0200,-1.1597546
19700111T0300,-1.7697545
19700111T0400,-1.5897547
19700111T0500,-1.5397545
19700111T0600,-2.5797548
19700111T0700,-2.6497545
19700111T0800,-2.6397548
19700111T0900,-2.3797545
19700111T1000,-1.4297546
19700111T1100,1.5402454
19700111T1200,1.9002454
19700111T1300,2.3002453
19700111T1400,2.3402452
19700111T1500,2.5802455
19700111T1600,2.4302454
19700111T1700,2.4302454
19700111T1800,2.5302453
19700111T1900,2.1502454
19700111T2000,2.3202453
19700111T2100,1.9602454
19700111T2200,1.1302454
19700111T2300,-0.009754598
19700112T0000,-0.21975458
19700112T0100,-0.52975464
19700112T0200,-0.74975455
19700112T0300,-1.0397546
19700112T0400,-0.33975458
19700112T0500,-0.20975459
19700112T0600,-0.2597546
19700112T0700,-0.4297546
19700112T0800,-1.2297546
19700112T0900,-1.2297546
19700112T1000,-0.8397546
19700112T1100,2.3102455
19700112T1200,2.5002456
19700112T1300,3.0002456
19700112T1400,4.150245
19700112T1500,4.690245
19700112T1600,4.3302455
19700112T1700,2.7902455
19700112T1800,-0.1397546
19700112T1900,-0.49975455
19700112T2000,-0.46975458
19700112T2100,-0.52975464
19700112T2200,-1.0597546
19700112T2300,-2.5397544
19700113T0000,-2.4297547
19700113T0100,-2.3097544
19700113T0200,-2.2197547
19700113T0300,-2.7197547
19700113T0400,-3.0797548
19700113T0500,-2.8797545
19700113T0600,-2.4097548
19700113T0700,-2.0897546
19700113T0800,-2.2397547
19700113T0900,-1.9597546
19700113T1000,-1.3697546
19700113T1100,1.9302454
19700113T1200,2.4102454
19700113T1300,2.7002454
19700113T1400,2.9002452
19700113T1500,3.2502456
19700113T1600,1.7102454
19700113T1700,1.4502454
19700113T1800,0.3602454
19700113T1900,-0.09975457
