17,354
20,370
25,385
29,403
30,404
34,406
36,421
38,428
38,434
38,427
40,434
46,475
52,520
54,520
54,531
32,322
28,371
37,412
42,432
44,464
49,497
52,515
56,537
57,546
59,553
35,368
38,408
40,431
49,496
51,507
17,307
19,344
25,376
32,406
37,432
37,432
41,452
36,348
36,385
40,432
43,453
46,474
51,503
56,537
58,547
58,517
59,554
59,558
61,571
44,426
46,460
39,337
39,354
39,391
39,418
44,453
46,465
48,475
50,489
36,351
32,375
36,406
47,481
49,503
53,527
57,555
59,572
62,596
45,344
40,393
46,471
51,514
38,338
38,386
49,506
54,537
57,555
59,564
62,591
36,411
44,458
48,482
36,376
38,414
43,447
36,320
36,408
44,408
28,385
